Model,Scenario,Format,Success,RulesFired,GenerationTimeMs,ErrorMessage
granite4,Shipping Method Priority,DRL,false,0,1650,"ERROR: [ERR 101] Line 14:11 no viable alternative at input ':' in rule ""Select Shipping Method""
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Simple Calculation,DRL,false,0,660,"ERROR: [ERR 102] Line 12:44 mismatched input ')' in rule ""CalculateTax""
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Status Transition,DRL,true,1,591,
granite4,Subscription Renewal,DRL,false,0,1672,"ERROR: [ERR 102] Line 13:4 mismatched input 'query' in rule ""Subscription RENEWING""
ERROR: [ERR 102] Line 13:9 mismatched input ':' in query
ERROR: [ERR 102] Line 22:4 mismatched input 'query' in rule ""Subscription LAPSED""
ERROR: [ERR 102] Line 22:9 mismatched input ':' in query
ERROR: [ERR 102] Line 31:4 mismatched input 'query' in rule ""Subscription LOYALTY DISCOUNT""
ERROR: [ERR 102] Line 31:9 mismatched input ':' in query
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Tax Bracket,DRL,true,1,1122,
granite4,Tax Calculation Chain,DRL,false,0,3112,"ERROR: [ERR 102] Line 54:7 mismatched input 'modify' in rule ""Calculate Tax Owed""
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Order Discount - Tiered,DRL,false,0,1361,"Test case 'Premium Tier' failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=10, column=0
   text=Rule Compilation error The method modify(Order) is undefined for the type Rule_Order__dollar_200_or_more940106652
Syntax error, insert "";"" to complete Statement
The method setDiscountPercent(int) is undefined for the type Rule_Order__dollar_200_or_more940106652
The method setDiscountTier(String) is undefined for the type Rule_Order__dollar_200_or_more940106652
Syntax error, insert "";"" to complete Statement], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=17, column=0
   text=Rule Compilation error The method modify(Order) is undefined for the type Rule_Order__dollar_100_to_less_than__dollar_2001024849940
Syntax error, insert "";"" to complete Statement
The method setDiscountPercent(int) is undefined for the type Rule_Order__dollar_100_to_less_than__dollar_2001024849940
The method setDiscountTier(String) is undefined for the type Rule_Order__dollar_100_to_less_than__dollar_2001024849940
Syntax error, insert "";"" to complete Statement], Message [id=3, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=24, column=0
   text=Rule Compilation error The method modify(Order) is undefined for the type Rule_Order__dollar_50_to_less_than__dollar_100942926165
Syntax error, insert "";"" to complete Statement
The method setDiscountPercent(int) is undefined for the type Rule_Order__dollar_50_to_less_than__dollar_100942926165
The method setDiscountTier(String) is undefined for the type Rule_Order__dollar_50_to_less_than__dollar_100942926165
Syntax error, insert "";"" to complete Statement]]"
deepseek-coder-v2:16b,Adult Validation,DRL,false,0,27746,"Validation exception: DRL validation failed: ERROR: [ERR 107] Line 1:0 mismatched input 'java' expecting one of the following tokens: '[package, unit, import, global, declare, function, rule, query]'.
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
deepseek-coder-v2:16b,Age Classification,DRL,false,0,2779,"Validation exception: DRL validation failed: ERROR: [ERR 107] Line 1:0 mismatched input 'java' expecting one of the following tokens: '[package, unit, import, global, declare, function, rule, query]'.
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
deepseek-coder-v2:16b,Age Validation Simple,DRL,false,0,1172,"Validation exception: DRL validation failed: ERROR: [ERR 107] Line 1:0 mismatched input 'java' expecting one of the following tokens: '[package, unit, import, global, declare, function, rule, query]'.
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
deepseek-coder-v2:16b,Order Discount - Basic,DRL,false,0,1069,"Validation exception: DRL validation failed: ERROR: [ERR 107] Line 1:0 mismatched input 'java' expecting one of the following tokens: '[package, unit, import, global, declare, function, rule, query]'.
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
deepseek-coder-v2:16b,Bulk Order Discount,DRL,false,0,1330,"Validation exception: DRL validation failed: ERROR: [ERR 107] Line 1:0 mismatched input 'java' expecting one of the following tokens: '[package, unit, import, global, declare, function, rule, query]'.
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
